Question,Choice1,Choice2,Choice3,Choice4,Answer
Spell that allows a wizard to transport through portals:, Accio,Disapparate,Apparate,Portkey,3
The monster that is attacking Muggle-born students:, Giant Wolf,Dragon,Giant Spider,Basilisk,4
The powerful object that can grant eternal life:, Philosopher's Stone,Elixir of Life,Resurrection,Deathly Hallows,1
Who is the leader of the Order of the Phoenix:, Minerva McGonagall,Albus Dumbledore,Sirius Black,Remus Lupin,2
Name of the prophecy that is made about Harry and Voldemort:,The Lost Prophecy,The Chosen One,The Boy Who Lived,Downfall of The Dark Lord,1
The book that contains information about the Horcruxes:, Secrets of the Dark Art,The Book of Souls,The Dark Lord's Tales,Hogwarts: A History,1
Teacher of the Care of Magical Creatures class:, Hagrid,Firenze,Sprout,Trelawney,2
Name of the prison where Sirius Black was being held:, Beauxbatons Dungeon,Hogwarts Prison,Ministry of Magic Prison,Azkaban,4
The village where Harry went to find the sword of Gryffindor:, Ottery St. Catchpole,Godric's Hollow,Hogsmeade,Budleigh Babberton,1
Head of the Department of Mysteries in the Ministry of Magic:, Dolores Umbridge,Cornelius Fudge,Rufus Scrimgeour,Arthur Weasley,2
